period,year,instrument,volume,value,avg_txn_value
2019,2019,Charge card,6.225045,13133550502.0,2109792058.0493796
2020,2020,Charge card,3.343675,10252634119.0,3066277110.9632363
2021,2021,Charge card,3.4402459999999997,10934888346.0,3178519311.119031
2022,2022,Charge card,5.351218000000001,14025384050.999998,2620970412.9041266
2023,2023,Charge card,5.998517,15966384188.999996,2661721920.434667
2024,2024,Charge card,7.245063999999999,16487793107.000002,2275727737.808804
Jan-Jun 2025,2025,Charge card,3.9696799999999994,8997679880.999998,2266600804.3469496
2019,2019,Cheques,84.35732099999998,1267372432522.6301,15023858243.70395
2020,2020,Cheques,59.85246899999999,980057532170.9299,16374554776.861921
2021,2021,Cheques,48.256921,898788692621.4902,18625073336.558094
2022,2022,Cheques,46.144789,940963644970.1901,20391547244.266087
2023,2023,Cheques,40.850353,879492863245.61,21529627008.256454
2024,2024,Cheques,39.923719000000006,932550388021.7198,23358304571.31811
Jan-Jun 2025,2025,Cheques,16.879068,412175229880.81995,24419312125.575886
2019,2019,Credit card,510.07607500000006,143791741242.00003,281902540.2083405
2020,2020,Credit card,489.311468,126995440272.0,259539063.7196347
2021,2021,Credit card,556.0278529999999,138179583753.0,248511981.92224377
2022,2022,Credit card,715.433537,177637930433.00003,248294105.94572118
2023,2023,Credit card,825.172578,199888965224.0,242238981.9454228
2024,2024,Credit card,928.1095799999999,216239403916.0,232989087.254115
Jan-Jun 2025,2025,Credit card,493.06943400000006,110465467444.99998,224036332.06150022
2019,2019,Debit card,370.969791,52393821702.99999,141234739.2540111
2020,2020,Debit card,497.939097,59502215120.00001,119496973.582695
2021,2021,Debit card,736.788481,78211958865.00002,106152526.65031826
2022,2022,Debit card,1200.410566,118820226041.00002,98982989.15922739
2023,2023,Debit card,1598.504252,138178935957.0,86442645.23170002
2024,2024,Debit card,1989.27774,155224179207.0,78030420.83354333
Jan-Jun 2025,2025,Debit card,1142.8582259999998,83762341103.0,73291979.00265191
2019,2019,E-money,2090.9373439999995,17628651711.29269,8430980.374365868
2020,2020,E-money,1827.6851049999998,27695298153.999996,15153211.063674998
2021,2021,E-money,2107.95132,49800225466.0,23624940.95262124
2022,2022,E-money,3186.675975,71183205590.0,22337760.77280653
2023,2023,E-money,4023.3247440000005,106658068240.00002,26509932.71151169
2024,2024,E-money,5024.400911000001,164085533744.0,32657731.07093523
Jan-Jun 2025,2025,E-money,2926.551483999999,119977699109.99988,40996271.470343255
